ID,salesOrderNumber,customer_ID,inquiry_ID,supplyingVendor_ID,purchaseOrderRef_ID,salesOrg,distributionChannel,documentDate,requestedDelivery,currency,paymentTerms,netValue,taxValue,grossValue,status,remarks,createdAt,createdBy,modifiedAt,modifiedBy
SOH001,SO1001,CUST001,SIH001,VEND001,PO001,SO01,ONLINE,2025-01-05,2025-01-12,INR,30Days,15000,2700,17700,open,Initial order,2025-01-05T09:30:00,system,2025-01-05T09:30:00,system

SOH002,SO1002,CUST002,SIH002,VEND002,PO002,SO02,RETAIL,2025-01-06,2025-01-15,INR,45Days,18000,3240,21240,inProcess,Review pending,2025-01-06T11:00:00,admin,2025-01-06T11:00:00,admin

SOH003,SO1003,CUST003,SIH003,VEND003,PO003,SO01,ONLINE,2025-01-07,2025-01-14,INR,30Days,9500,1710,11210,confirmed,Customer confirmed,2025-01-07T10:10:00,system,2025-01-07T10:10:00,system

SOH004,SO1004,CUST004,SIH004,VEND001,PO004,SO03,DIRECT,2025-01-08,2025-01-18,INR,30Days,22000,3960,25960,open,Awaiting approval,2025-01-08T14:20:00,manager,2025-01-08T14:20:00,manager

SOH005,SO1005,CUST005,SIH005,VEND002,PO005,SO02,RETAIL,2025-01-09,2025-01-19,INR,45Days,12500,2250,14750,rejected,Price too high,2025-01-09T12:15:00,system,2025-01-09T12:15:00,system

SOH006,SO1006,CUST006,SIH006,VEND003,PO006,SO01,ONLINE,2025-01-10,2025-01-22,INR,30Days,18500,3330,21830,completed,Successfully closed,2025-01-10T16:25:00,admin,2025-01-10T16:25:00,admin

SOH007,SO1007,CUST007,SIH007,VEND004,PO007,SO04,EXPORT,2025-01-11,2025-01-25,INR,30Days,30500,5490,35990,inProcess,Awaiting stock check,2025-01-11T10:45:00,system,2025-01-11T10:45:00,system

SOH008,SO1008,CUST008,SIH008,VEND002,PO008,SO01,ONLINE,2025-01-12,2025-01-20,INR,30Days,14200,2556,16756,confirmed,Confirmed for dispatch,2025-01-12T13:30:00,manager,2025-01-12T13:30:00,manager

SOH009,SO1009,CUST009,SIH009,VEND001,PO009,SO03,DIRECT,2025-01-13,2025-01-23,INR,30Days,17800,3204,21004,open,Pending final approval,2025-01-13T15:05:00,admin,2025-01-13T15:05:00,admin

SOH010,SO1010,CUST010,SIH010,VEND003,PO010,SO02,RETAIL,2025-01-14,2025-01-26,INR,45Days,19900,3582,23482,completed,Order processed,2025-01-14T09:55:00,system,2025-01-14T09:55:00,system
